Id,Russian
title,Сервис Локолизации
text,"Это пакет предназначен для отображения локализации текстов в ваших приложениях. Простой интерфейс. Локализация из файла .CSV формата. Работает с несколькими возможными видами вывода текста в Unity3d ( MeshText, UIText, TextMesh Pro), так же есть возможность получить текстовое значение из кода."
autors,Sun Cube
localization1,Английский
localization2,Русский
localization3,Французский
localization4,латышский
back,назад
next,следующий
instruction,инструкции
Budget,Бюджет
ShList,Список покупок
7-10/1,Список покупок 1
7-10/2,Список покупок 2
7-10/3,Свободное перемещение
10-15/1,Список покупок 1
10-15/2,Список покупок 2
10-15/3,Свободное перемещение
15+/1,Список покупок 1
15+/2,Список покупок 2
15+/3,Свободное перемещение
AgeQuestion,Сколько тебе лет?
ShelfDisp,Нажмите на полку
WonGame,Поздравляем вы уложились в бюджет. Остаток бюджета - 
LostGame,К сожалению вы не в вашем бюджете. Вы злоупотребляли - 
GotAllProducts,Вам удалось найти все необходимые товары.
NotAllProducts,Вам не удалось найти все необходимые товары.
